attack_family,synthetic_to_authentic_ratio,pipeline,metric,course_code,course_tier,seed_count,course_mean_delta
topic_aligned_reframing,1.0,direct,target_specificity,COMP3411,strict_complete,3,-0.6666666666666666
topic_aligned_reframing,1.0,direct,target_specificity,COMP4920,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP6443,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP6771,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP9020,strict_complete,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP9021,strict_complete,3,-2.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP9311,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP9321,strict_complete,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP9334,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP9444,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP9511,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,COMP9727,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,ECON1101,strict_complete,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,FINS3633,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_specificity,GSOE9820,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,direct,target_specificity,MATH5836,strict_complete,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,ACCT2542,strict_complete,3,0.6666666666666666
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,CDEV3500,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMM1150,strict_complete,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMM1190,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP1521,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP2041,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP2511,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP2521,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP3121,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP3222,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP3411,strict_complete,3,-1.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP4920,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP6443,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP6771,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP9020,strict_complete,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP9021,strict_complete,3,-2.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP9311,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP9321,strict_complete,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP9334,user_approved_exception,3,0.3333333333333333
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP9444,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP9511,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,COMP9727,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,ECON1101,strict_complete,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,FINS3633,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,GSOE9820,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,direct,target_strength_0_to_3,MATH5836,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,ACCT2542,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,CDEV3500,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMM1150,strict_complete,3,0.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMM1190,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP1521,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP2041,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP2511,user_approved_exception,3,0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP2521,user_approved_exception,3,0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP3121,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP3222,user_approved_exception,3,0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP3411,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP4920,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP6443,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP6771,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP9020,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP9021,strict_complete,3,-1.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP9311,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP9321,strict_complete,3,0.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP9334,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP9444,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP9511,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,COMP9727,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,ECON1101,strict_complete,3,0.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,FINS3633,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,GSOE9820,user_approved_exception,3,-0.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_risk_omitted,MATH5836,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,ACCT2542,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,CDEV3500,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMM1150,strict_complete,3,-0.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMM1190,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP1521,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP2041,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP2511,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP2521,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP3121,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP3222,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP3411,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP4920,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP6443,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP6771,user_approved_exception,3,0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP9020,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP9021,strict_complete,3,1.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP9311,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP9321,strict_complete,3,-0.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP9334,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP9444,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP9511,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,COMP9727,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,ECON1101,strict_complete,3,-0.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,FINS3633,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,GSOE9820,user_approved_exception,3,0.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_risk_retained,MATH5836,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,ACCT2542,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,CDEV3500,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMM1150,strict_complete,3,-0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMM1190,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP1521,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP2041,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP2511,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP2521,user_approved_exception,3,-1.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP3121,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP3222,user_approved_exception,3,-1.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP3411,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP4920,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP6443,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP6771,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP9020,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP9021,strict_complete,3,2.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP9311,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP9321,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP9334,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP9444,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP9511,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,COMP9727,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,ECON1101,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,FINS3633,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,GSOE9820,user_approved_exception,3,-1.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_specificity,MATH5836,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,ACCT2542,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,CDEV3500,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMM1150,strict_complete,3,-0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMM1190,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP1521,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP2041,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP2511,user_approved_exception,3,-0.6666666666666666
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP2521,user_approved_exception,3,-1.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP3121,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP3222,user_approved_exception,3,-1.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP3411,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP4920,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP6443,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP6771,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP9020,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP9021,strict_complete,3,2.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP9311,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP9321,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP9334,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP9444,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP9511,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,COMP9727,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,ECON1101,strict_complete,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,FINS3633,user_approved_exception,3,0.0
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,GSOE9820,user_approved_exception,3,-1.3333333333333333
topic_aligned_reframing,1.0,evidence_constrained,target_strength_0_to_3,MATH5836,strict_complete,3,0.0
